relative_compactness,surface_area,wall_area,roof_area,overall_height,orientation,glazing_area,glazing_area_distribution,heating_load,cooling_load,heating_cost,predicted_heating,cost,savings,savings_pct,error
0.98,514.5,294.0,110.25,7.0,2,0.0,0,15.55,21.33,1.866,15.55,1.87,0.81,30.29,0.0
0.98,514.5,294.0,110.25,7.0,3,0.0,0,15.55,21.33,1.866,15.55,1.87,0.81,30.29,0.0
0.98,514.5,294.0,110.25,7.0,4,0.0,0,15.55,21.33,1.866,15.55,1.87,0.81,30.29,0.0
0.98,514.5,294.0,110.25,7.0,5,0.0,0,15.55,21.33,1.866,15.55,1.87,0.81,30.29,0.0
0.9,563.5,318.5,122.5,7.0,2,0.0,0,20.84,28.28,2.5008,20.84,2.5,0.18,6.58,0.0
0.9,563.5,318.5,122.5,7.0,3,0.0,0,21.46,25.38,2.5752,21.46,2.58,0.1,3.8,0.0
0.9,563.5,318.5,122.5,7.0,4,0.0,0,20.71,25.16,2.4852,20.71,2.49,0.19,7.16,0.0
0.9,563.5,318.5,122.5,7.0,5,0.0,0,19.68,29.6,2.3615999999999997,19.68,2.36,0.32,11.78,0.0
0.86,588.0,294.0,147.0,7.0,2,0.0,0,19.5,27.3,2.34,19.5,2.34,0.34,12.58,0.0
0.86,588.0,294.0,147.0,7.0,3,0.0,0,19.95,21.97,2.3939999999999997,19.95,2.39,0.28,10.57,0.0
0.86,588.0,294.0,147.0,7.0,4,0.0,0,19.34,23.49,2.3207999999999998,19.34,2.32,0.36,13.3,0.0
0.86,588.0,294.0,147.0,7.0,5,0.0,0,18.31,27.87,2.1971999999999996,18.31,2.2,0.48,17.92,0.0
0.82,612.5,318.5,147.0,7.0,2,0.0,0,17.05,23.77,2.046,17.05,2.05,0.63,23.57,0.0
0.82,612.5,318.5,147.0,7.0,3,0.0,0,17.41,21.46,2.0892,17.41,2.09,0.59,21.95,0.0
0.82,612.5,318.5,147.0,7.0,4,0.0,0,16.95,21.16,2.034,16.95,2.03,0.64,24.02,0.0
0.82,612.5,318.5,147.0,7.0,5,0.0,0,15.98,24.93,1.9176,15.98,1.92,0.76,28.36,0.0
0.79,637.0,343.0,147.0,7.0,2,0.0,0,28.52,37.73,3.4223999999999997,28.52,3.42,-0.75,-27.85,0.0
0.79,637.0,343.0,147.0,7.0,3,0.0,0,29.9,31.27,3.5879999999999996,29.9,3.59,-0.91,-34.04,0.0
0.79,637.0,343.0,147.0,7.0,4,0.0,0,29.63,30.93,3.5555999999999996,29.63,3.56,-0.88,-32.83,0.0
0.79,637.0,343.0,147.0,7.0,5,0.0,0,28.75,39.44,3.4499999999999997,28.75,3.45,-0.77,-28.88,0.0
0.76,661.5,416.5,122.5,7.0,2,0.0,0,24.77,29.79,2.9724,24.77,2.97,-0.3,-11.04,0.0
0.76,661.5,416.5,122.5,7.0,3,0.0,0,23.93,29.68,2.8716,23.93,2.87,-0.19,-7.27,0.0
0.76,661.5,416.5,122.5,7.0,4,0.0,0,24.77,29.79,2.9724,24.77,2.97,-0.3,-11.04,0.0
0.76,661.5,416.5,122.5,7.0,5,0.0,0,23.93,29.4,2.8716,23.93,2.87,-0.19,-7.27,0.0
0.74,686.0,245.0,220.5,3.5,2,0.0,0,6.07,10.9,0.7284,6.07,0.73,1.95,72.79,0.0
0.74,686.0,245.0,220.5,3.5,3,0.0,0,6.05,11.19,0.726,6.05,0.73,1.95,72.88,0.0
0.74,686.0,245.0,220.5,3.5,4,0.0,0,6.01,10.94,0.7212,6.01,0.72,1.96,73.06,0.0
0.74,686.0,245.0,220.5,3.5,5,0.0,0,6.04,11.17,0.7248,6.04,0.72,1.95,72.92,0.0
0.71,710.5,269.5,220.5,3.5,2,0.0,0,6.37,11.27,0.7644,6.37,0.76,1.91,71.44,0.0
0.71,710.5,269.5,220.5,3.5,3,0.0,0,6.4,11.72,0.768,6.4,0.77,1.91,71.31,0.0
0.71,710.5,269.5,220.5,3.5,4,0.0,0,6.366,11.29,0.7639199999999999,6.37,0.76,1.91,71.46,0.0
0.71,710.5,269.5,220.5,3.5,5,0.0,0,6.4,11.67,0.768,6.4,0.77,1.91,71.31,0.0
0.69,735.0,294.0,220.5,3.5,2,0.0,0,6.85,11.74,0.822,6.85,0.82,1.85,69.29,0.0
0.69,735.0,294.0,220.5,3.5,3,0.0,0,6.79,12.05,0.8148,6.79,0.81,1.86,69.56,0.0
0.69,735.0,294.0,220.5,3.5,4,0.0,0,6.77,11.73,0.8123999999999999,6.77,0.81,1.86,69.65,0.0
0.69,735.0,294.0,220.5,3.5,5,0.0,0,6.81,11.93,0.8171999999999999,6.81,0.82,1.86,69.47,0.0
0.66,759.5,318.5,220.5,3.5,2,0.0,0,7.18,12.4,0.8615999999999999,7.18,0.86,1.82,67.81,0.0
0.66,759.5,318.5,220.5,3.5,3,0.0,0,7.1,12.23,0.852,7.1,0.85,1.82,68.17,0.0
0.66,759.5,318.5,220.5,3.5,4,0.0,0,7.1,12.4,0.852,7.1,0.85,1.82,68.17,0.0
0.66,759.5,318.5,220.5,3.5,5,0.0,0,7.1,12.14,0.852,7.1,0.85,1.82,68.17,0.0
0.64,784.0,343.0,220.5,3.5,2,0.0,0,10.85,16.78,1.3019999999999998,10.85,1.3,1.37,51.36,0.0
0.64,784.0,343.0,220.5,3.5,3,0.0,0,10.54,16.8,1.2648,10.54,1.26,1.41,52.75,0.0
0.64,784.0,343.0,220.5,3.5,4,0.0,0,10.77,16.75,1.2924,10.77,1.29,1.38,51.72,0.0
0.64,784.0,343.0,220.5,3.5,5,0.0,0,10.56,16.67,1.2672,10.56,1.27,1.41,52.66,0.0
0.62,808.5,367.5,220.5,3.5,2,0.0,0,8.6,12.07,1.032,8.6,1.03,1.64,61.45,0.0
0.62,808.5,367.5,220.5,3.5,3,0.0,0,8.49,12.22,1.0188,8.49,1.02,1.66,61.94,0.0
0.62,808.5,367.5,220.5,3.5,4,0.0,0,8.45,12.08,1.0139999999999998,8.45,1.01,1.66,62.12,0.0
0.62,808.5,367.5,220.5,3.5,5,0.0,0,8.5,12.04,1.02,8.5,1.02,1.66,61.9,0.0
0.98,514.5,294.0,110.25,7.0,2,0.1,1,24.58,26.47,2.9495999999999998,24.58,2.95,-0.27,-10.19,0.0
0.98,514.5,294.0,110.25,7.0,3,0.1,1,24.63,26.37,2.9555999999999996,24.63,2.96,-0.28,-10.41,0.0
0.98,514.5,294.0,110.25,7.0,4,0.1,1,24.63,26.44,2.9555999999999996,24.63,2.96,-0.28,-10.41,0.0
0.98,514.5,294.0,110.25,7.0,5,0.1,1,24.59,26.29,2.9508,24.59,2.95,-0.27,-10.23,0.0
0.9,563.5,318.5,122.5,7.0,2,0.1,1,29.03,32.92,3.4836,29.03,3.48,-0.81,-30.14,0.0
0.9,563.5,318.5,122.5,7.0,3,0.1,1,29.87,29.87,3.5844,29.87,3.58,-0.91,-33.9,0.0
0.9,563.5,318.5,122.5,7.0,4,0.1,1,29.14,29.58,3.4968,29.14,3.5,-0.82,-30.63,0.0
0.9,563.5,318.5,122.5,7.0,5,0.1,1,28.09,34.33,3.3708,28.09,3.37,-0.69,-25.92,0.0
0.86,588.0,294.0,147.0,7.0,2,0.1,1,26.28,30.89,3.1536,26.28,3.15,-0.48,-17.81,0.0
0.86,588.0,294.0,147.0,7.0,3,0.1,1,26.91,25.6,3.2292,26.91,3.23,-0.55,-20.63,0.0
0.86,588.0,294.0,147.0,7.0,4,0.1,1,26.37,27.03,3.1644,26.37,3.16,-0.49,-18.21,0.0
0.86,588.0,294.0,147.0,7.0,5,0.1,1,25.27,31.73,3.0324,25.27,3.03,-0.36,-13.28,0.0
0.82,612.5,318.5,147.0,7.0,2,0.1,1,23.53,27.31,2.8236,23.53,2.82,-0.15,-5.48,0.0
0.82,612.5,318.5,147.0,7.0,3,0.1,1,24.03,24.91,2.8836,24.03,2.88,-0.21,-7.72,0.0
0.82,612.5,318.5,147.0,7.0,4,0.1,1,23.54,24.61,2.8247999999999998,23.54,2.82,-0.15,-5.53,0.0
0.82,612.5,318.5,147.0,7.0,5,0.1,1,22.58,28.51,2.7095999999999996,22.58,2.71,-0.03,-1.22,0.0
0.79,637.0,343.0,147.0,7.0,2,0.1,1,35.56,41.68,4.2672,35.56,4.27,-1.59,-59.41,0.0
0.79,637.0,343.0,147.0,7.0,3,0.1,1,37.12,35.28,4.4544,37.12,4.45,-1.78,-66.4,0.0
0.79,637.0,343.0,147.0,7.0,4,0.1,1,36.9,34.43,4.428,36.9,4.43,-1.75,-65.42,0.0
0.79,637.0,343.0,147.0,7.0,5,0.1,1,35.94,43.33,4.312799999999999,35.94,4.31,-1.64,-61.11,0.0
0.76,661.5,416.5,122.5,7.0,2,0.1,1,32.96,33.87,3.9552,32.96,3.96,-1.28,-47.76,0.0
0.76,661.5,416.5,122.5,7.0,3,0.1,1,32.12,34.07,3.8543999999999996,32.12,3.85,-1.18,-43.99,0.0
0.76,661.5,416.5,122.5,7.0,4,0.1,1,32.94,34.14,3.9527999999999994,32.94,3.95,-1.28,-47.67,0.0
0.76,661.5,416.5,122.5,7.0,5,0.1,1,32.21,33.67,3.8651999999999997,32.21,3.87,-1.19,-44.39,0.0
0.74,686.0,245.0,220.5,3.5,2,0.1,1,10.36,13.43,1.2431999999999999,10.36,1.24,1.43,53.56,0.0
0.74,686.0,245.0,220.5,3.5,3,0.1,1,10.43,13.71,1.2515999999999998,10.43,1.25,1.43,53.24,0.0
0.74,686.0,245.0,220.5,3.5,4,0.1,1,10.36,13.48,1.2431999999999999,10.36,1.24,1.43,53.56,0.0
0.74,686.0,245.0,220.5,3.5,5,0.1,1,10.39,13.7,1.2468000000000001,10.39,1.25,1.43,53.42,0.0
0.71,710.5,269.5,220.5,3.5,2,0.1,1,10.71,13.8,1.2852000000000001,10.71,1.29,1.39,51.99,0.0
0.71,710.5,269.5,220.5,3.5,3,0.1,1,10.8,14.28,1.296,10.8,1.3,1.38,51.59,0.0
0.71,710.5,269.5,220.5,3.5,4,0.1,1,10.7,13.87,1.2839999999999998,10.7,1.28,1.39,52.03,0.0
0.71,710.5,269.5,220.5,3.5,5,0.1,1,10.75,14.27,1.29,10.75,1.29,1.39,51.81,0.0
0.69,735.0,294.0,220.5,3.5,2,0.1,1,11.11,14.28,1.3332,11.11,1.33,1.34,50.2,0.0
0.69,735.0,294.0,220.5,3.5,3,0.1,1,11.13,14.61,1.3356000000000001,11.13,1.34,1.34,50.11,0.0
0.69,735.0,294.0,220.5,3.5,4,0.1,1,11.09,14.3,1.3308,11.09,1.33,1.35,50.29,0.0
0.69,735.0,294.0,220.5,3.5,5,0.1,1,11.16,14.45,1.3392,11.16,1.34,1.34,49.97,0.0
0.66,759.5,318.5,220.5,3.5,2,0.1,1,11.68,13.9,1.4016,11.68,1.4,1.28,47.64,0.0
0.66,759.5,318.5,220.5,3.5,3,0.1,1,11.69,13.72,1.4027999999999998,11.69,1.4,1.27,47.6,0.0
0.66,759.5,318.5,220.5,3.5,4,0.1,1,11.7,13.88,1.404,11.7,1.4,1.27,47.55,0.0
0.66,759.5,318.5,220.5,3.5,5,0.1,1,11.69,13.65,1.4027999999999998,11.69,1.4,1.27,47.6,0.0
0.64,784.0,343.0,220.5,3.5,2,0.1,1,15.41,19.37,1.8492,15.41,1.85,0.83,30.92,0.0
0.64,784.0,343.0,220.5,3.5,3,0.1,1,15.2,19.43,1.8239999999999998,15.2,1.82,0.85,31.86,0.0
0.64,784.0,343.0,220.5,3.5,4,0.1,1,15.42,19.34,1.8503999999999998,15.42,1.85,0.83,30.87,0.0
0.64,784.0,343.0,220.5,3.5,5,0.1,1,15.21,19.32,1.8252,15.21,1.83,0.85,31.82,0.0
0.62,808.5,367.5,220.5,3.5,2,0.1,1,12.96,14.34,1.5552000000000001,12.96,1.56,1.12,41.9,0.0
0.62,808.5,367.5,220.5,3.5,3,0.1,1,12.97,14.5,1.5564,12.97,1.56,1.12,41.86,0.0
0.62,808.5,367.5,220.5,3.5,4,0.1,1,12.93,14.33,1.5515999999999999,12.93,1.55,1.13,42.04,0.0
0.62,808.5,367.5,220.5,3.5,5,0.1,1,13.02,14.27,1.5623999999999998,13.02,1.56,1.11,41.63,0.0
0.98,514.5,294.0,110.25,7.0,2,0.1,2,24.29,25.95,2.9147999999999996,24.29,2.91,-0.24,-8.89,0.0
0.98,514.5,294.0,110.25,7.0,3,0.1,2,24.31,25.63,2.9172,24.31,2.92,-0.24,-8.98,0.0
0.98,514.5,294.0,110.25,7.0,4,0.1,2,24.13,26.13,2.8956,24.13,2.9,-0.22,-8.17,0.0
0.98,514.5,294.0,110.25,7.0,5,0.1,2,24.25,25.89,2.9099999999999997,24.25,2.91,-0.23,-8.71,0.0
0.9,563.5,318.5,122.5,7.0,2,0.1,2,28.88,32.54,3.4656,28.88,3.47,-0.79,-29.46,0.0
0.9,563.5,318.5,122.5,7.0,3,0.1,2,29.68,29.44,3.5616,29.68,3.56,-0.88,-33.05,0.0
0.9,563.5,318.5,122.5,7.0,4,0.1,2,28.83,29.36,3.4595999999999996,28.83,3.46,-0.78,-29.24,0.0
0.9,563.5,318.5,122.5,7.0,5,0.1,2,27.9,34.2,3.348,27.9,3.35,-0.67,-25.07,0.0
0.86,588.0,294.0,147.0,7.0,2,0.1,2,26.48,30.91,3.1776,26.48,3.18,-0.5,-18.71,0.0
0.86,588.0,294.0,147.0,7.0,3,0.1,2,27.02,25.63,3.2424,27.02,3.24,-0.57,-21.13,0.0
0.86,588.0,294.0,147.0,7.0,4,0.1,2,26.33,27.36,3.1595999999999997,26.33,3.16,-0.48,-18.03,0.0
0.86,588.0,294.0,147.0,7.0,5,0.1,2,25.36,31.9,3.0431999999999997,25.36,3.04,-0.37,-13.69,0.0
0.82,612.5,318.5,147.0,7.0,2,0.1,2,23.75,27.38,2.85,23.75,2.85,-0.17,-6.47,0.0
0.82,612.5,318.5,147.0,7.0,3,0.1,2,24.23,25.02,2.9076,24.23,2.91,-0.23,-8.62,0.0
0.82,612.5,318.5,147.0,7.0,4,0.1,2,23.67,24.8,2.8404000000000003,23.67,2.84,-0.16,-6.11,0.0
0.82,612.5,318.5,147.0,7.0,5,0.1,2,22.79,28.79,2.7348,22.79,2.73,-0.06,-2.16,0.0
0.79,637.0,343.0,147.0,7.0,2,0.1,2,35.65,41.07,4.278,35.65,4.28,-1.6,-59.81,0.0
0.79,637.0,343.0,147.0,7.0,3,0.1,2,37.26,34.62,4.4712,37.26,4.47,-1.79,-67.03,0.0
0.79,637.0,343.0,147.0,7.0,4,0.1,2,36.97,33.87,4.4364,36.97,4.44,-1.76,-65.73,0.0
0.79,637.0,343.0,147.0,7.0,5,0.1,2,36.03,42.86,4.3236,36.03,4.32,-1.65,-61.52,0.0
0.76,661.5,416.5,122.5,7.0,2,0.1,2,33.16,33.91,3.9791999999999996,33.16,3.98,-1.3,-48.65,0.0
0.76,661.5,416.5,122.5,7.0,3,0.1,2,32.4,34.07,3.888,32.4,3.89,-1.21,-45.24,0.0
0.76,661.5,416.5,122.5,7.0,4,0.1,2,33.12,34.17,3.9743999999999997,33.12,3.97,-1.3,-48.47,0.0
0.76,661.5,416.5,122.5,7.0,5,0.1,2,32.41,33.78,3.8891999999999993,32.41,3.89,-1.21,-45.29,0.0
0.74,686.0,245.0,220.5,3.5,2,0.1,2,10.42,13.39,1.2504,10.42,1.25,1.43,53.29,0.0
0.74,686.0,245.0,220.5,3.5,3,0.1,2,10.46,13.72,1.2552,10.46,1.26,1.42,53.11,0.0
0.74,686.0,245.0,220.5,3.5,4,0.1,2,10.32,13.57,1.2384,10.32,1.24,1.44,53.74,0.0
0.74,686.0,245.0,220.5,3.5,5,0.1,2,10.45,13.79,1.2539999999999998,10.45,1.25,1.42,53.15,0.0
0.71,710.5,269.5,220.5,3.5,2,0.1,2,10.64,13.67,1.2768,10.64,1.28,1.4,52.3,0.0
0.71,710.5,269.5,220.5,3.5,3,0.1,2,10.72,14.11,1.2864,10.72,1.29,1.39,51.94,0.0
0.71,710.5,269.5,220.5,3.5,4,0.1,2,10.55,13.8,1.266,10.55,1.27,1.41,52.71,0.0
0.71,710.5,269.5,220.5,3.5,5,0.1,2,10.68,14.21,1.2815999999999999,10.68,1.28,1.4,52.12,0.0
0.69,735.0,294.0,220.5,3.5,2,0.1,2,11.45,13.2,1.3739999999999999,11.45,1.37,1.3,48.67,0.0
0.69,735.0,294.0,220.5,3.5,3,0.1,2,11.46,13.54,1.3752,11.46,1.38,1.3,48.63,0.0
0.69,735.0,294.0,220.5,3.5,4,0.1,2,11.32,13.32,1.3584,11.32,1.36,1.32,49.25,0.0
0.69,735.0,294.0,220.5,3.5,5,0.1,2,11.49,13.51,1.3788,11.49,1.38,1.3,48.49,0.0
0.66,759.5,318.5,220.5,3.5,2,0.1,2,11.45,14.86,1.3739999999999999,11.45,1.37,1.3,48.67,0.0
0.66,759.5,318.5,220.5,3.5,3,0.1,2,11.42,14.75,1.3703999999999998,11.42,1.37,1.31,48.81,0.0
0.66,759.5,318.5,220.5,3.5,4,0.1,2,11.33,15.0,1.3596,11.33,1.36,1.32,49.21,0.0
0.66,759.5,318.5,220.5,3.5,5,0.1,2,11.43,14.74,1.3716,11.43,1.37,1.31,48.76,0.0
0.64,784.0,343.0,220.5,3.5,2,0.1,2,15.41,19.23,1.8492,15.41,1.85,0.83,30.92,0.0
0.64,784.0,343.0,220.5,3.5,3,0.1,2,15.18,19.34,1.8215999999999999,15.18,1.82,0.86,31.95,0.0
0.64,784.0,343.0,220.5,3.5,4,0.1,2,15.34,19.32,1.8408,15.34,1.84,0.84,31.23,0.0
0.64,784.0,343.0,220.5,3.5,5,0.1,2,15.19,19.3,1.8228,15.19,1.82,0.85,31.91,0.0
0.62,808.5,367.5,220.5,3.5,2,0.1,2,12.88,14.37,1.5456,12.88,1.55,1.13,42.26,0.0
0.62,808.5,367.5,220.5,3.5,3,0.1,2,13.0,14.57,1.56,13.0,1.56,1.12,41.72,0.0
0.62,808.5,367.5,220.5,3.5,4,0.1,2,12.97,14.27,1.5564,12.97,1.56,1.12,41.86,0.0
0.62,808.5,367.5,220.5,3.5,5,0.1,2,13.04,14.24,1.5647999999999997,13.04,1.56,1.11,41.54,0.0
0.98,514.5,294.0,110.25,7.0,2,0.1,3,24.28,25.68,2.9136,24.28,2.91,-0.24,-8.84,0.0
0.98,514.5,294.0,110.25,7.0,3,0.1,3,24.4,26.02,2.928,24.4,2.93,-0.25,-9.38,0.0
0.98,514.5,294.0,110.25,7.0,4,0.1,3,24.11,25.84,2.8931999999999998,24.11,2.89,-0.22,-8.08,0.0
0.98,514.5,294.0,110.25,7.0,5,0.1,3,24.35,26.14,2.922,24.35,2.92,-0.25,-9.16,0.0
0.9,563.5,318.5,122.5,7.0,2,0.1,3,28.07,34.14,3.3684,28.07,3.37,-0.69,-25.83,0.0
0.9,563.5,318.5,122.5,7.0,3,0.1,3,29.01,32.85,3.4812,29.01,3.48,-0.8,-30.05,0.0
0.9,563.5,318.5,122.5,7.0,4,0.1,3,29.62,30.08,3.5544,29.62,3.55,-0.88,-32.78,0.0
0.9,563.5,318.5,122.5,7.0,5,0.1,3,29.05,29.67,3.4859999999999998,29.05,3.49,-0.81,-30.23,0.0
0.86,588.0,294.0,147.0,7.0,2,0.1,3,25.41,31.73,3.0492,25.41,3.05,-0.37,-13.91,0.0
0.86,588.0,294.0,147.0,7.0,3,0.1,3,26.47,31.01,3.1763999999999997,26.47,3.18,-0.5,-18.66,0.0
0.86,588.0,294.0,147.0,7.0,4,0.1,3,26.89,25.9,3.2268,26.89,3.23,-0.55,-20.54,0.0
0.86,588.0,294.0,147.0,7.0,5,0.1,3,26.46,27.4,3.1752,26.46,3.18,-0.5,-18.62,0.0
0.82,612.5,318.5,147.0,7.0,2,0.1,3,22.93,28.68,2.7516,22.93,2.75,-0.07,-2.79,0.0
0.82,612.5,318.5,147.0,7.0,3,0.1,3,23.84,27.54,2.8608,23.84,2.86,-0.18,-6.87,0.0
0.82,612.5,318.5,147.0,7.0,4,0.1,3,24.17,25.35,2.9004000000000003,24.17,2.9,-0.22,-8.35,0.0
0.82,612.5,318.5,147.0,7.0,5,0.1,3,23.87,24.93,2.8644,23.87,2.86,-0.19,-7.01,0.0
0.79,637.0,343.0,147.0,7.0,2,0.1,3,35.78,43.12,4.2936,35.78,4.29,-1.62,-60.4,0.0
0.79,637.0,343.0,147.0,7.0,3,0.1,3,35.48,41.22,4.257599999999999,35.48,4.26,-1.58,-59.05,0.0
0.79,637.0,343.0,147.0,7.0,4,0.1,3,36.97,35.1,4.4364,36.97,4.44,-1.76,-65.73,0.0
0.79,637.0,343.0,147.0,7.0,5,0.1,3,36.7,34.29,4.404,36.7,4.4,-1.73,-64.52,0.0
0.76,661.5,416.5,122.5,7.0,2,0.1,3,32.52,33.85,3.9024,32.52,3.9,-1.23,-45.78,0.0
0.76,661.5,416.5,122.5,7.0,3,0.1,3,33.28,34.11,3.9936,33.28,3.99,-1.32,-49.19,0.0
0.76,661.5,416.5,122.5,7.0,4,0.1,3,32.33,34.48,3.8795999999999995,32.33,3.88,-1.2,-44.93,0.0
0.76,661.5,416.5,122.5,7.0,5,0.1,3,33.24,34.5,3.9888,33.24,3.99,-1.31,-49.01,0.0
0.74,686.0,245.0,220.5,3.5,2,0.1,3,10.39,13.6,1.2468000000000001,10.39,1.25,1.43,53.42,0.0
0.74,686.0,245.0,220.5,3.5,3,0.1,3,10.34,13.36,1.2408,10.34,1.24,1.44,53.65,0.0
0.74,686.0,245.0,220.5,3.5,4,0.1,3,10.35,13.65,1.242,10.35,1.24,1.43,53.6,0.0
0.74,686.0,245.0,220.5,3.5,5,0.1,3,10.38,13.49,1.2456,10.38,1.25,1.43,53.47,0.0
0.71,710.5,269.5,220.5,3.5,2,0.1,3,10.77,14.14,1.2924,10.77,1.29,1.38,51.72,0.0
0.71,710.5,269.5,220.5,3.5,3,0.1,3,10.68,13.77,1.2815999999999999,10.68,1.28,1.4,52.12,0.0
0.71,710.5,269.5,220.5,3.5,4,0.1,3,10.68,14.3,1.2815999999999999,10.68,1.28,1.4,52.12,0.0
0.71,710.5,269.5,220.5,3.5,5,0.1,3,10.7,13.87,1.2839999999999998,10.7,1.28,1.39,52.03,0.0
0.69,735.0,294.0,220.5,3.5,2,0.1,3,11.22,14.44,1.3464,11.22,1.35,1.33,49.7,0.0
0.69,735.0,294.0,220.5,3.5,3,0.1,3,11.16,14.27,1.3392,11.16,1.34,1.34,49.97,0.0
0.69,735.0,294.0,220.5,3.5,4,0.1,3,11.1,14.67,1.3319999999999999,11.1,1.33,1.34,50.24,0.0
0.69,735.0,294.0,220.5,3.5,5,0.1,3,11.14,14.4,1.3368,11.14,1.34,1.34,50.06,0.0
0.66,759.5,318.5,220.5,3.5,2,0.1,3,11.59,13.46,1.3908,11.59,1.39,1.29,48.04,0.0
0.66,759.5,318.5,220.5,3.5,3,0.1,3,11.6,13.7,1.392,11.6,1.39,1.28,48.0,0.0
0.66,759.5,318.5,220.5,3.5,4,0.1,3,11.53,13.59,1.3836,11.53,1.38,1.29,48.31,0.0
0.66,759.5,318.5,220.5,3.5,5,0.1,3,11.61,13.83,1.3931999999999998,11.61,1.39,1.28,47.95,0.0
0.64,784.0,343.0,220.5,3.5,2,0.1,3,15.16,19.14,1.8192,15.16,1.82,0.86,32.04,0.0
0.64,784.0,343.0,220.5,3.5,3,0.1,3,15.36,19.18,1.8432,15.36,1.84,0.83,31.14,0.0
0.64,784.0,343.0,220.5,3.5,4,0.1,3,15.12,19.37,1.8143999999999998,15.12,1.81,0.86,32.22,0.0
0.64,784.0,343.0,220.5,3.5,5,0.1,3,15.36,19.29,1.8432,15.36,1.84,0.83,31.14,0.0
0.62,808.5,367.5,220.5,3.5,2,0.1,3,12.68,14.09,1.5215999999999998,12.68,1.52,1.16,43.16,0.0
0.62,808.5,367.5,220.5,3.5,3,0.1,3,12.63,14.23,1.5156,12.63,1.52,1.16,43.38,0.0
0.62,808.5,367.5,220.5,3.5,4,0.1,3,12.71,14.14,1.5252000000000001,12.71,1.53,1.15,43.02,0.0
